FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;985;280;0;89;19;18;61184;UA44;0,3 uM CBDV
0;1;1005;297;0;73;21;20;52241;;
0;2;670;359;0;82;21;10;4912;;
0;3;960;399;0;67;6;21;25186;;
0;4;665;451;0;79;15;10;4479;;
0;5;1051;468;0;80;16;18;27849;;
0;6;889;656;0;88;25;22;13064;;
0;7;1025;666;0;74;15;13;5967;;
0;8;875;675;0;77;21;21;12428;;
0;9;1009;689;0;80;19;21;4303;;
0;10;695;754;0;69;14;11;7953;;
0;11;663;845;0;76;17;11;3175;;
0;12;786;834;0;78;11;17;18225;;
3;0;990;283;0;80;24;21;58897;;
3;1;1005;297;1;73;21;20;52241;;
3;2;670;358;0;84;23;13;4411;;
3;3;958;385;0;75;7;22;26178;;
3;4;665;450;0;81;15;10;4479;;
3;5;1051;468;1;80;16;18;27849;;
3;6;890;656;0;82;22;22;4872;;
3;7;1024;666;0;76;14;14;13645;;
3;8;875;675;0;75;20;21;12428;;
3;9;1000;685;0;86;28;18;227;;
3;10;695;754;1;69;14;11;7953;;
3;11;656;839;0;76;11;17;17507;;
3;12;791;838;0;80;13;15;17955;;
3;13;455;503;0;72;18;4;65376;;
3;14;1126;515;0;87;12;14;4511;;
4;0;990;283;1;80;24;21;58897;;
4;1;1005;297;0;83;21;20;52241;;
4;2;671;357;0;76;22;12;4411;;
4;3;958;378;0;74;5;18;9830;;
4;4;664;451;0;82;15;11;4415;;
4;5;1050;468;0;73;18;19;27785;;
4;6;890;656;0;83;22;23;4888;;
4;7;1025;665;0;68;12;13;6024;;
4;8;875;675;0;75;20;21;12428;;
4;9;996;682;0;84;21;7;3184;;
4;10;694;753;0;71;17;10;65296;;
4;11;658;844;0;68;16;13;50739;;
4;12;792;838;0;74;15;15;1639;;
4;13;455;503;1;72;18;4;65376;;
4;14;1130;514;0;74;15;15;13102;;
4;15;1131;430;0;68;21;15;32827;;
4;16;913;932;0;67;8;15;29495;;
5;0;986;280;0;93;20;18;58897;;
5;1;1005;297;0;80;21;21;52241;;
5;2;659;362;0;83;26;13;4536;;
5;3;957;371;0;74;5;20;18022;;
5;4;664;451;0;78;15;9;4415;;
5;5;1050;468;1;73;18;19;27785;;
5;6;890;656;0;89;24;22;14088;;
5;7;1025;665;1;68;12;13;6024;;
5;8;875;675;0;79;20;21;12428;;
5;9;991;683;0;85;21;7;2288;;
5;10;696;753;0;71;15;8;8145;;
5;11;661;845;0;67;14;11;20019;;
5;12;793;838;0;75;12;14;17479;;
5;13;455;503;2;72;18;4;65376;;
5;14;1134;513;0;73;16;16;5964;;
5;15;1131;430;0;68;21;16;51251;;
5;16;913;932;1;67;8;15;29495;;
5;17;1135;755;0;74;19;21;34835;;
6;0;986;281;0;90;20;19;58897;;
6;1;1005;297;0;74;21;21;52241;;
6;2;669;357;0;82;24;12;5048;;
6;3;956;361;0;87;18;23;60689;;
6;4;666;450;0;77;15;10;4479;;
6;5;1050;468;2;73;18;19;27785;;
6;6;890;656;0;84;22;23;4888;;
6;7;1025;665;0;72;12;12;8072;;
6;8;875;675;0;79;21;21;12428;;
6;9;984;682;0;84;19;7;241;;
6;10;696;753;1;71;15;8;8145;;
6;11;661;843;0;68;18;6;497;;
6;12;794;842;0;73;11;17;17507;;
6;13;455;503;3;72;18;4;65376;;
6;14;1132;513;0;83;20;15;14028;;
6;15;1131;431;0;68;21;16;50739;;
6;16;913;932;2;67;8;15;29495;;
6;17;1135;755;0;76;20;21;34835;;
6;18;1175;587;0;76;14;33;12567;;
7;0;990;283;0;76;24;21;50705;;
7;1;1005;298;0;81;21;20;50225;;
7;2;669;358;0;79;23;12;4411;;
7;3;956;361;1;87;18;23;60689;;
7;4;665;451;0;79;15;10;4415;;
7;5;1050;468;3;73;18;19;27785;;
7;6;889;656;0;83;23;22;4876;;
7;7;1025;665;0;73;12;12;8072;;
7;8;875;675;0;78;20;21;12428;;
7;9;981;681;0;84;21;6;3184;;
7;10;696;753;2;71;15;8;8145;;
7;11;661;843;1;68;18;6;497;;
7;12;794;843;0;78;12;19;17507;;
7;13;455;503;4;72;18;4;65376;;
7;14;1126;517;0;78;18;10;499;;
7;15;1124;419;0;76;20;16;46643;;
7;16;913;932;3;67;8;15;29495;;
7;17;1135;755;0;80;20;22;52243;;
7;18;1175;587;0;75;14;34;4375;;
7;19;628;755;0;71;5;20;18022;;
8;0;990;283;0;70;24;25;7713;;
8;1;1005;298;1;81;21;20;50225;;
8;2;669;357;0;83;23;12;4411;;
8;3;956;361;2;87;18;23;60689;;
8;4;665;451;0;77;15;10;4415;;
8;5;1062;478;0;68;18;24;2254;;
8;6;890;656;0;83;22;23;4872;;
8;7;1025;665;0;66;13;13;5964;;
8;8;875;675;0;81;20;22;12492;;
8;9;976;680;0;82;22;6;2288;;
8;10;696;753;3;71;15;8;8145;;
8;11;647;844;0;67;19;6;497;;
8;12;796;843;0;73;14;17;35939;;
8;13;455;503;5;72;18;4;65376;;
8;14;1124;518;0;79;20;10;3954;;
8;15;1124;419;1;76;20;16;46643;;
8;16;913;932;4;67;8;15;29495;;
8;17;1135;755;0;80;20;21;34835;;
8;18;1175;587;1;75;14;34;4375;;
8;19;628;749;0;74;7;19;13926;;
8;20;1129;780;0;70;21;25;6598;;
9;0;990;283;0;86;24;28;7713;;
9;1;1005;298;2;81;21;20;50225;;
9;2;671;358;0;79;22;12;4411;;
9;3;956;361;3;87;18;23;60689;;
9;4;665;450;0;76;15;10;4479;;
9;5;1061;478;0;78;17;21;2508;;
9;6;890;656;0;80;22;22;4872;;
9;7;1025;665;0;68;11;14;6104;;
9;8;875;675;0;80;20;21;12428;;
9;9;969;681;0;86;21;6;2032;;
9;10;696;753;4;71;15;8;8145;;
9;11;654;844;0;72;16;7;2033;;
9;12;796;843;1;73;14;17;35939;;
9;13;455;503;6;72;18;4;65376;;
9;14;1129;516;0;82;18;10;498;;
9;15;1131;431;0;70;16;16;61446;;
9;16;913;932;5;67;8;15;29495;;
9;17;1135;755;0;86;20;21;34867;;
9;18;1175;587;2;75;14;34;4375;;
9;19;629;745;0;83;7;19;9062;;
9;20;1129;780;1;70;21;25;6598;;
10;0;990;283;0;77;24;27;7777;;
10;1;1005;298;3;81;21;20;50225;;
10;2;671;358;0;75;22;11;4401;;
10;3;956;361;4;87;18;23;60689;;
10;4;665;450;0;74;15;12;4415;;
10;5;1061;478;0;87;17;24;3276;;
10;6;890;656;0;85;24;22;14088;;
10;7;1025;663;0;71;15;14;5117;;
10;8;875;675;0;78;20;21;12428;;
10;9;960;681;0;78;20;6;4080;;
10;10;696;753;5;71;15;8;8145;;
10;11;654;844;1;72;16;7;2033;;
10;12;798;844;0;68;15;11;35911;;
10;13;455;503;7;72;18;4;65376;;
10;14;1131;516;0;87;19;10;1014;;
10;15;1131;430;0;72;16;19;15886;;
10;16;913;932;6;67;8;15;29495;;
10;17;1135;755;1;86;20;21;34867;;
10;18;1175;587;3;75;14;34;4375;;
10;19;630;743;0;71;7;17;9830;;
10;20;1129;780;2;70;21;25;6598;;
11;0;990;283;1;77;24;27;7777;;
11;1;1005;297;0;87;21;21;52273;;
11;2;671;358;0;79;22;13;4409;;
11;3;956;361;5;87;18;23;60689;;
11;4;666;450;0;77;14;11;4479;;
11;5;1052;487;0;71;18;21;40140;;
11;6;890;656;0;81;22;22;4872;;
11;7;1026;663;0;76;14;14;5113;;
11;8;875;675;0;81;20;21;12428;;
11;9;960;679;0;77;20;8;3184;;
11;10;696;753;6;71;15;8;8145;;
11;11;654;844;2;72;16;7;2033;;
11;12;798;844;1;68;15;11;35911;;
11;13;455;503;8;72;18;4;65376;;
11;14;1134;513;0;89;21;10;2020;;
11;15;1131;431;0;73;21;19;28684;;
11;16;913;932;7;67;8;15;29495;;
11;17;1135;755;2;86;20;21;34867;;
11;18;1175;587;4;75;14;34;4375;;
11;19;630;743;1;71;7;17;9830;;
11;20;1129;780;3;70;21;25;6598;;
12;0;990;283;0;76;24;21;58897;;
12;1;1005;297;1;87;21;21;52273;;
12;2;659;362;0;84;26;13;4536;;
12;3;956;361;6;87;18;23;60689;;
12;4;665;450;0;77;15;9;4415;;
12;5;1061;478;0;78;17;20;40136;;
12;6;890;656;0;84;24;22;14088;;
12;7;1026;662;0;71;15;12;4601;;
12;8;875;675;0;72;20;21;12428;;
12;9;960;680;0;77;21;7;3312;;
12;10;693;751;0;72;21;6;3952;;
12;11;657;835;0;74;18;10;1016;;
12;12;798;844;2;68;15;11;35911;;
12;13;455;503;9;72;18;4;65376;;
12;14;1125;518;0;89;20;10;3954;;
12;15;1131;431;1;73;21;19;28684;;
12;16;915;931;0;66;13;18;13118;;
12;17;1135;755;3;86;20;21;34867;;
12;18;1175;587;0;67;12;35;12567;;
12;19;632;739;0;75;11;16;9836;;
12;20;1129;780;4;70;21;25;6598;;
12;21;1081;340;0;74;21;9;992;;
13;0;990;283;0;70;24;21;50705;;
13;1;1005;297;2;87;21;21;52273;;
13;2;671;357;0;76;22;12;4411;;
13;3;956;361;7;87;18;23;60689;;
13;4;666;450;0;74;15;11;4415;;
13;5;1061;478;0;68;17;19;39116;;
13;6;890;656;0;85;24;23;14088;;
13;7;1025;664;0;70;14;13;4985;;
13;8;875;675;0;77;21;21;12428;;
13;9;945;676;0;66;20;6;3696;;
13;10;693;751;1;72;21;6;3952;;
13;11;666;832;0;79;19;9;893;;
13;12;798;844;3;68;15;11;35911;;
13;14;1122;518;0;66;23;12;3984;;
13;15;1131;431;0;66;17;19;12558;;
13;16;915;931;1;66;13;18;13118;;
13;17;1135;755;4;86;20;21;34867;;
13;18;1175;587;1;67;12;35;12567;;
13;19;632;739;1;75;11;16;9836;;
13;20;1129;780;5;70;21;25;6598;;
13;21;1074;345;0;86;22;13;4968;;
13;22;839;185;0;72;15;10;3824;;
13;23;1140;608;0;85;13;14;13172;;
13;24;1115;637;0;67;15;15;4927;;
14;0;990;283;1;70;24;21;50705;;
14;1;1005;297;0;72;21;21;52241;;
14;2;659;361;0;79;24;9;5040;;
14;3;956;361;8;87;18;23;60689;;
14;4;664;451;0;74;15;10;4415;;
14;5;1061;478;0;75;17;19;39116;;
14;6;890;656;0;79;22;22;4872;;
14;7;1025;663;0;70;13;13;5116;;
14;8;875;675;0;82;20;21;12428;;
14;9;945;676;1;66;20;6;3696;;
14;10;693;751;2;72;21;6;3952;;
14;11;674;828;0;80;26;22;11265;;
14;12;798;844;4;68;15;11;35911;;
14;14;1122;518;1;66;23;12;3984;;
14;15;1131;431;1;66;17;19;12558;;
14;16;915;931;2;66;13;18;13118;;
14;17;1135;755;5;86;20;21;34867;;
14;18;1175;587;2;67;12;35;12567;;
14;19;632;739;2;75;11;16;9836;;
14;20;1129;780;6;70;21;25;6598;;
14;21;1071;346;0;77;17;13;5096;;
14;22;839;185;1;72;15;10;3824;;
14;23;1140;608;1;85;13;14;13172;;
14;24;1115;637;1;67;15;15;4927;;
14;25;933;301;0;90;19;24;8718;;
14;26;449;691;0;96;10;15;30519;;
14;27;804;709;0;69;25;15;511;;
15;0;990;283;0;73;24;21;50705;;
15;1;1005;297;1;72;21;21;52241;;
15;2;669;358;0;87;22;11;953;;
15;3;956;361;9;87;18;23;60689;;
15;4;664;451;0;78;15;10;4479;;
15;5;1061;478;0;73;17;17;34958;;
15;6;890;656;0;86;24;23;14088;;
15;7;1025;664;0;66;12;15;4989;;
15;8;875;675;0;81;20;21;12428;;
