FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;568;290;0;74;21;8;3696;UA44;30 uM CBDV
0;1;470;351;0;75;10;14;17511;;
0;2;860;593;0;78;15;8;1535;;
0;3;940;676;0;75;20;23;6540;;
0;4;953;659;0;81;20;21;4504;;
0;5;588;771;0;73;20;9;3568;;
0;6;711;760;0;74;15;8;895;;
0;7;854;836;0;81;26;13;2163;;
3;0;567;290;0;75;21;8;3696;;
3;1;474;357;0;83;13;12;34359;;
3;2;858;593;0;83;17;7;3953;;
3;3;941;675;0;75;20;22;4572;;
3;4;953;659;1;81;20;21;4504;;
3;5;588;771;0;71;20;11;2292;;
3;6;706;762;0;75;16;8;4080;;
3;7;856;834;0;86;15;11;4383;;
3;8;765;244;0;82;14;11;894;;
3;9;498;671;0;74;13;11;34355;;
4;0;571;291;0;73;20;8;3696;;
4;1;468;355;0;74;15;10;3635;;
4;2;858;593;0;83;16;7;3760;;
4;3;943;674;0;71;22;22;4383;;
4;4;953;659;2;81;20;21;4504;;
4;5;588;771;1;71;20;11;2292;;
4;6;706;762;1;75;16;8;4080;;
4;7;861;832;0;78;15;12;4991;;
4;8;765;244;1;82;14;11;894;;
4;9;498;671;1;74;13;11;34355;;
4;10;927;610;0;87;12;12;6136;;
4;11;1134;738;0;67;13;22;4167;;
5;0;564;289;0;70;20;8;3184;;
5;1;473;358;0;69;13;11;2271;;
5;2;858;593;1;83;16;7;3760;;
5;3;943;674;1;71;22;22;4383;;
5;4;954;660;0;80;20;22;4542;;
5;5;588;771;0;83;20;11;2292;;
5;6;706;762;2;75;16;8;4080;;
5;7;867;828;0;89;15;11;4415;;
5;8;764;245;0;81;13;11;894;;
5;9;505;674;0;71;16;7;3888;;
5;10;925;612;0;84;13;12;4479;;
5;11;1134;738;1;67;13;22;4167;;
5;12;626;786;0;73;22;7;2865;;
5;13;745;953;0;91;9;15;4991;;
6;0;567;290;0;70;20;8;3696;;
6;1;475;361;0;75;15;8;2291;;
6;2;856;591;0;86;15;9;1663;;
6;3;939;673;0;87;23;22;4511;;
6;4;954;660;1;80;20;22;4542;;
6;5;588;771;1;83;20;11;2292;;
6;6;706;762;3;75;16;8;4080;;
6;7;867;828;1;89;15;11;4415;;
6;8;764;245;1;81;13;11;894;;
6;9;505;674;1;71;16;7;3888;;
6;10;925;611;0;71;11;13;4415;;
6;11;1134;738;2;67;13;22;4167;;
6;12;626;786;1;73;22;7;2865;;
6;13;745;950;0;76;11;15;18227;;
6;14;716;342;0;88;11;14;13183;;
6;15;1139;664;0;69;9;15;823;;
6;16;1028;859;0;76;11;13;26167;;
7;0;567;290;1;70;20;8;3696;;
7;1;475;361;1;75;15;8;2291;;
7;2;856;591;1;86;15;9;1663;;
7;3;940;674;0;67;22;22;4574;;
7;4;954;660;2;80;20;22;4542;;
7;5;588;771;2;83;20;11;2292;;
7;6;700;765;0;80;10;15;13119;;
7;7;867;828;2;89;15;11;4415;;
