FRAME;ID;X;Y;LOST_COUNT;#PIX;X_SIZE;Y_SIZE;SHAPE;CEPA;TRATAMIENTO
0;0;811;245;0;81;21;20;51395;UA44;CONTROL
0;1;847;253;0;75;20;19;12428;;
0;2;724;382;0;81;7;17;12838;;
0;3;948;406;0;98;22;21;52241;;
0;4;715;407;0;81;23;27;4398;;
0;5;1063;455;0;96;10;15;4919;;
0;6;878;573;0;73;11;15;13079;;
0;7;1123;774;0;68;6;17;9830;;
0;8;631;831;0;86;9;15;4967;;
0;9;719;858;0;72;10;14;25395;;
0;10;799;853;0;77;21;22;119;;
0;11;846;892;0;78;8;17;9831;;
0;12;636;938;0;67;18;9;894;;
0;13;693;937;0;71;12;14;58129;;
3;0;810;245;0;81;20;20;51395;;
3;1;847;253;0;73;20;19;12428;;
3;2;724;382;1;81;7;17;12838;;
3;3;949;406;0;78;21;21;51217;;
3;4;715;406;0;87;23;28;12392;;
3;5;1064;456;0;91;9;15;1911;;
3;6;878;573;1;73;11;15;13079;;
3;7;1124;780;0;68;6;16;26215;;
3;8;631;831;0;91;8;15;4919;;
3;9;719;858;1;72;10;14;25395;;
3;10;799;853;0;68;21;21;33895;;
3;11;846;889;0;80;9;16;26211;;
3;12;638;939;0;70;18;9;511;;
3;13;694;935;0;76;13;15;16935;;
3;14;549;306;0;73;15;23;52231;;
3;15;692;308;0;77;23;20;34819;;
3;16;1023;391;0;69;17;6;3697;;
3;17;939;645;0;73;12;20;57895;;
3;18;1045;887;0;75;26;10;2737;;
3;19;872;953;0;79;19;23;25360;;
3;20;755;978;0;85;17;7;1776;;
4;0;811;245;0;85;21;20;51427;;
4;1;847;252;0;80;21;18;12430;;
4;2;724;382;0;80;5;19;13095;;
4;3;950;406;0;77;21;19;51473;;
4;4;715;407;0;78;22;25;12398;;
4;5;1064;457;0;97;8;15;311;;
4;6;878;573;2;73;11;15;13079;;
4;7;1124;780;1;68;6;16;26215;;
4;8;633;832;0;92;12;14;13902;;
4;9;716;856;0;84;25;22;13080;;
4;10;800;854;0;92;21;21;1127;;
4;11;846;885;0;78;9;18;18019;;
4;12;644;933;0;69;15;10;4383;;
4;13;694;935;1;76;13;15;16935;;
4;14;550;306;0;78;17;22;52231;;
4;15;695;308;0;78;25;20;34879;;
4;16;1023;391;0;72;18;6;1521;;
4;17;939;645;1;73;12;20;57895;;
4;18;1045;887;1;75;26;10;2737;;
4;19;877;954;0;72;16;8;2163;;
4;20;755;978;0;78;16;8;2032;;
4;21;972;423;0;74;13;16;19687;;
4;22;463;658;0;91;17;19;13080;;
4;23;603;661;0;80;7;17;12902;;
4;24;606;770;0;85;15;12;4943;;
4;25;1016;771;0;84;7;17;9831;;
4;26;779;832;0;66;15;10;4479;;
5;0;811;245;1;85;21;20;51427;;
5;1;848;253;0;75;21;19;28814;;
5;2;724;382;1;80;5;19;13095;;
5;3;948;405;0;86;20;19;51219;;
5;4;716;406;0;98;24;27;4462;;
5;5;1063;455;0;92;9;15;4983;;
5;6;878;573;3;73;11;15;13079;;
5;7;1124;780;2;68;6;16;26215;;
5;8;633;832;1;92;12;14;13902;;
5;9;716;857;0;74;24;24;29464;;
5;10;800;853;0;76;21;21;33895;;
5;11;845;882;0;78;7;17;26147;;
5;12;644;933;1;69;15;10;4383;;
5;13;693;933;0;66;14;11;3185;;
5;14;550;306;1;78;17;22;52231;;
5;15;692;309;0;69;23;19;34959;;
5;16;1023;391;0;68;18;5;3953;;
5;17;937;643;0;97;15;24;17511;;
5;18;1045;887;2;75;26;10;2737;;
5;19;874;953;0;79;18;10;3699;;
5;20;755;977;0;94;16;7;2032;;
5;21;972;423;0;71;15;12;1271;;
5;22;464;657;0;98;18;19;13072;;
5;23;602;661;0;89;8;17;13926;;
5;24;605;770;0;84;15;14;4959;;
5;25;1016;771;1;84;7;17;9831;;
5;26;779;832;1;66;15;10;4479;;
5;27;902;535;0;88;15;8;383;;
5;28;934;597;0;73;10;15;4927;;
5;29;941;807;0;77;15;12;895;;
6;0;811;245;2;85;21;20;51427;;
6;1;847;253;0;71;20;19;12430;;
6;2;724;383;0;77;5;17;8806;;
6;3;948;405;1;86;20;19;51219;;
6;4;715;407;0;83;23;25;4202;;
6;5;1064;454;0;83;12;13;819;;
6;6;878;573;4;73;11;15;13079;;
6;7;1130;796;0;80;26;22;34963;;
6;8;632;831;0;89;9;15;4927;;
6;9;713;851;0;69;23;20;4377;;
6;10;800;853;1;76;21;21;33895;;
6;11;847;879;0;82;8;15;17207;;
6;12;655;928;0;73;19;9;892;;
6;13;693;933;1;66;14;11;3185;;
6;14;551;306;0;68;17;22;52231;;
6;15;691;308;0;71;21;20;34947;;
6;16;1025;391;0;72;18;6;1267;;
6;17;935;640;0;103;15;23;17511;;
6;18;1045;887;3;75;26;10;2737;;
6;19;872;951;0;80;13;12;32529;;
6;20;755;977;0;88;18;7;2032;;
6;21;966;422;0;66;23;20;33587;;
6;22;463;659;0;76;17;18;13080;;
6;23;603;660;0;77;9;16;30276;;
6;24;607;767;0;98;13;17;4974;;
6;25;1019;765;0;77;7;16;26214;;
6;26;779;832;2;66;15;10;4479;;
