strain,treatment,track_id,n_steps,alpha,R,p_value,is_levy_strict,is_levy_statistical,classification
BR5270,Control,1459_3_0,109,7.916944332510021,-0.20549237142366317,0.19554572183887475,False,False,Brownian
BR5270,Control,1459_3_1,192,4.443061485796289,-4.555802052423135,0.000619793320539382,False,False,Brownian
BR5270,Control,1459_3_10,110,5.908682604626158,0.09328549825734911,0.09532028006734036,False,False,Brownian
BR5270,Control,1459_3_100,70,4.263231537943753,-0.788418765170052,0.21221648033708662,False,False,Brownian
BR5270,Control,1459_3_11,191,4.45100619051677,-0.08299927566963017,0.11483477147189858,False,False,Brownian
BR5270,Control,1459_3_14,50,2.500689015426796,-0.19364250804537786,0.6908042078027714,True,False,Lévy
BR5270,Control,1459_3_16,235,5.746263195655978,0.002818461650215265,0.6904351444994714,False,False,Brownian
BR5270,Control,1459_3_18,69,3.1464840165522268,-0.20121473056449635,0.3219658746224745,False,False,Brownian
BR5270,Control,1459_3_19,165,2.6141469944714553,-0.01251630676357951,0.9080192327850138,True,False,Lévy
BR5270,Control,1459_3_2,75,73.13475204444816,-0.09682257710807107,0.898114840242769,False,False,Brownian
BR5270,Control,1459_3_21,223,6.048793469981089,0.0031338983514385133,0.6970629932602752,False,False,Brownian
BR5270,Control,1459_3_23,204,118.32631040726464,-0.9037455026194934,0.11144475512312188,False,False,Brownian
BR5270,Control,1459_3_26,116,3.650264155024985,-2.2118033314649237,0.037365467741925014,False,False,Brownian
BR5270,Control,1459_3_29,203,4.989228967447339,0.02962492573479958,0.07898501989091006,False,False,Brownian
BR5270,Control,1459_3_3,157,11.084327421503579,0.02612279757268382,0.02068244900655112,False,True,Brownian
BR5270,Control,1459_3_30,62,13.984255368000673,-0.23728931086734928,0.0931926706647612,False,False,Brownian
BR5270,Control,1459_3_31,165,1.9670826664018,-14.358153164576532,0.010671113302720714,True,False,Lévy
BR5270,Control,1459_3_39,68,50.051631390224756,-0.18047878225614244,0.5941422622748664,False,False,Brownian
BR5270,Control,1459_3_4,217,2.9179600239558265,-1.1427701397774492,0.00017864293675372007,True,False,Lévy
BR5270,Control,1459_3_51,64,2.8953009859474044,0.00024180600526513274,0.9390396071450929,True,False,Lévy
BR5270,Control,1459_3_52,75,10.40888070144976,-25.906803356601515,5.364752856453672e-43,False,False,Brownian
BR5270,Control,1459_3_6,62,2.6164760826814364,-1.0081496254190236,0.36751651064423707,True,False,Lévy
BR5270,Control,1459_3_67,104,2.759389768724513,-0.7575485963298427,0.4269977208620407,True,False,Lévy
BR5270,Control,1459_3_76,117,45.32654608836014,-0.2504604426545508,8.362234717973873e-06,False,False,Brownian
BR5270,Control,1548_0_0,96,4.5410381525669,-0.6197666398426147,0.46847738206407297,False,False,Brownian
BR5270,Control,1548_0_1,197,9.359144795738992,-0.7354432378763649,7.398504479081936e-101,False,False,Brownian
BR5270,Control,1548_0_10,192,4.409008119697961,-0.0981515829277333,0.7637153999365821,False,False,Brownian
BR5270,Control,1548_0_115,64,3.450507641195464,-0.8255457449317598,0.19701494038892164,False,False,Brownian
BR5270,Control,1548_0_13,58,2.5151761733528293,-1.5719940230078078,0.34234522076410756,True,False,Lévy
BR5270,Control,1548_0_130,114,2.602392291998524,-0.08155861395979591,0.7856463012314011,True,False,Lévy
BR5270,Control,1548_0_14,114,,0.0,1.0,False,False,Brownian
BR5270,Control,1548_0_15,50,28.077371923732795,-0.004307898430890855,0.9763106743815507,False,False,Brownian
BR5270,Control,1548_0_153,92,13.286798990131489,-0.8091312620944339,0.21262436515549876,False,False,Brownian
BR5270,Control,1548_0_16,54,3.047738473710874,-4.078638804430838,0.009332778623728671,False,False,Brownian
BR5270,Control,1548_0_166,77,8.87019581883641,-0.14923043430997213,0.12842747845760702,False,False,Brownian
BR5270,Control,1548_0_176,66,3.1887009300719806,-0.0014497887778310292,0.9688654218767586,False,False,Brownian
BR5270,Control,1548_0_18,235,30.75662181766168,-0.1760526463479608,0.1754514249967163,False,False,Brownian
BR5270,Control,1548_0_19,57,77.18414200131731,-0.04245848574539801,0.5798015962981162,False,False,Brownian
BR5270,Control,1548_0_194,51,2.973595491188566,-0.5567605235792309,0.1555615887495877,True,False,Lévy
BR5270,Control,1548_0_20,104,37.52922811765828,-0.6701807599762017,0.25044879147916066,False,False,Brownian
BR5270,Control,1548_0_21,81,15.396224494151317,-0.28483136061754255,0.13156265038088202,False,False,Brownian
BR5270,Control,1548_0_22,168,16.63695270124812,-41.133737260925145,6.40329356776794e-16,False,False,Brownian
BR5270,Control,1548_0_23,51,25.52581569511238,-1.150166777099697,0.22365915518385404,False,False,Brownian
BR5270,Control,1548_0_24,84,8.30122536942494,0.0883489263403694,7.773069585104858e-05,False,True,Brownian
BR5270,Control,1548_0_26,87,6.474145809825266,-0.3406128733356968,0.7704414595470919,False,False,Brownian
