strain,treatment,track_id,n_steps,alpha,R,p_value,is_levy_strict,is_levy_statistical,classification
N2,ETANOL,1206_10_0,102,17.682509658911755,0.06160034712872017,0.04507941269560436,False,True,Brownian
N2,ETANOL,1206_10_10,95,275.112057768903,3.1508398642051905,0.36956642432972775,False,False,Brownian
N2,ETANOL,1206_10_100,198,28.776570264344986,-0.15723878320608176,0.7637375105988904,False,False,Brownian
N2,ETANOL,1206_10_101,144,13.748916741341278,-0.019057409397661207,0.9532409653529557,False,False,Brownian
N2,ETANOL,1206_10_102,80,108.55408282538914,-0.07159990177565767,0.7840387173079908,False,False,Brownian
N2,ETANOL,1206_10_103,97,10.223993507759843,0.2537285606852875,0.08863699182307384,False,False,Brownian
N2,ETANOL,1206_10_107,166,2.5128338268377934,-0.07208960463338493,0.023314463675422427,True,False,Lévy
N2,ETANOL,1206_10_109,76,22.92896462151224,0.09925370232172126,0.5495387154341009,False,False,Brownian
N2,ETANOL,1206_10_11,78,2.861480955224982,-0.046233395634833974,0.8576170091955098,True,False,Lévy
N2,ETANOL,1206_10_110,68,24.24725928797375,-0.8528224677307676,0.050232455247887664,False,False,Brownian
N2,ETANOL,1206_10_114,103,1.881856084891865,-4.35595966286828,0.11765021543420198,True,False,Lévy
N2,ETANOL,1206_10_119,138,2.395669024406384,-0.787196336506111,0.004236040961968348,True,False,Lévy
N2,ETANOL,1206_10_123,85,8.539483329487844,-0.43370268352640085,0.23217691169135646,False,False,Brownian
N2,ETANOL,1206_10_128,86,169.84011568140275,-0.021388753832378704,0.8949900514243283,False,False,Brownian
N2,ETANOL,1206_10_13,227,5.988615349285049,-1.2524379273058872,0.17369748440491228,False,False,Brownian
N2,ETANOL,1206_10_130,115,8.207831517237288,0.15297998646310518,0.47041440699343595,False,False,Brownian
N2,ETANOL,1206_10_133,64,2.359885267135196,-0.17730745537005232,0.020039674149044093,True,False,Lévy
N2,ETANOL,1206_10_134,80,13.521035761744795,-0.36481176899953516,0.712601579112734,False,False,Brownian
N2,ETANOL,1206_10_135,127,5.716952207210913,-0.1461782607584977,0.37731526563740625,False,False,Brownian
N2,ETANOL,1206_10_138,69,4.153370547269196,-0.18509258545994964,0.24576991192787856,False,False,Brownian
N2,ETANOL,1206_10_140,51,3.5085818909642623,-0.08406352438474118,0.7197807636841913,False,False,Brownian
N2,ETANOL,1206_10_148,107,3.1111275354369274,8.15423281396721e-05,0.992797342917277,False,False,Brownian
N2,ETANOL,1206_10_15,156,27.093622813494406,-1.4642603721444685,3.262476948292925e-10,False,False,Brownian
N2,ETANOL,1206_10_151,55,12.241531212531614,-0.0329768849322547,0.9149798108450952,False,False,Brownian
N2,ETANOL,1206_10_157,72,2.5912112591319456,-0.9900238195724906,0.13119922615235438,True,False,Lévy
N2,ETANOL,1206_10_16,53,90.60715551564901,-0.7445696906341412,0.06225270118294504,False,False,Brownian
N2,ETANOL,1206_10_167,84,2.9980647286536177,-0.7441816071893317,0.4822219989413111,True,False,Lévy
N2,ETANOL,1206_10_18,224,4.097359335387008,-0.4102543842328339,0.029894369863760584,False,False,Brownian
N2,ETANOL,1206_10_183,139,4.401378733302814,-0.2213748504558859,0.12156707202900141,False,False,Brownian
N2,ETANOL,1206_10_187,125,4.8244403471386565,0.0006489334938782898,0.9336981800249577,False,False,Brownian
N2,ETANOL,1206_10_189,77,20.623427603044732,-0.2516225655034914,0.5257442393203632,False,False,Brownian
N2,ETANOL,1206_10_19,95,25.780246775087512,-1.465923824803863,0.1391166568981534,False,False,Brownian
N2,ETANOL,1206_10_2,223,4.461788367712273,-1.1484826015108733,0.1642716474517204,False,False,Brownian
N2,ETANOL,1206_10_20,112,2.270417747859537,-0.1296197610934786,0.6459331239317416,True,False,Lévy
N2,ETANOL,1206_10_22,62,7.880545579624285,0.007596681743133882,7.936476510491282e-10,False,True,Brownian
N2,ETANOL,1206_10_223,52,4.874791717353913,-0.2471900710401017,0.6103350177270097,False,False,Brownian
N2,ETANOL,1206_10_23,214,4.1056525733214775,-0.04241211183866378,0.3485450278795964,False,False,Brownian
N2,ETANOL,1206_10_230,67,2.3533658068544323,0.0026677131883310334,0.49853804533458446,True,False,Lévy
N2,ETANOL,1206_10_232,51,4.917788164254686,-2.7701812027187116,0.0071104107257734615,False,False,Brownian
N2,ETANOL,1206_10_239,98,4.366801099072299,-0.5017673536262088,0.46796867846872225,False,False,Brownian
N2,ETANOL,1206_10_24,66,48.60893634933579,-0.237534556306791,0.8414052152628386,False,False,Brownian
N2,ETANOL,1206_10_25,180,9.33625767168274,-0.9178865664854743,0.04471390631859764,False,False,Brownian
N2,ETANOL,1206_10_258,89,9.669510602119486,-2.1690152919145955,0.03087096727282481,False,False,Brownian
N2,ETANOL,1206_10_259,94,3.0407317351581353,-0.12492517090700739,0.733481653980063,False,False,Brownian
N2,ETANOL,1206_10_26,205,5.234755339823806,-1.4047024863565705,0.12113778674631982,False,False,Brownian
N2,ETANOL,1206_10_267,125,6.980548330380168,-0.057578375229710654,0.5324908729341303,False,False,Brownian
N2,ETANOL,1206_10_270,71,3.1042979263478463,-3.92142921858085,0.003795326143584432,False,False,Brownian
N2,ETANOL,1206_10_273,130,9.019646557217877,-0.6949861950847632,0.3006730914244783,False,False,Brownian
N2,ETANOL,1206_10_274,55,2.8991238537988107,-1.9020579418756665,0.21209248919445645,True,False,Lévy
N2,ETANOL,1206_10_28,127,6.297053287618077,0.013608418786587528,0.31680960070839825,False,False,Brownian
N2,ETANOL,1206_10_3,58,11.744396419117317,-0.8313164745039074,0.5333004216595708,False,False,Brownian
N2,ETANOL,1206_10_30,215,6.306276447678208,-0.048166038282770884,0.8183474531783076,False,False,Brownian
N2,ETANOL,1206_10_31,177,8.32241860814126,-0.2965776755077557,0.279602489640574,False,False,Brownian
N2,ETANOL,1206_10_32,93,8.355852844610371,-0.012541271297960899,0.9145370959020062,False,False,Brownian
N2,ETANOL,1206_10_327,83,4.33868555497722,0.00019819609833438,0.9418331828227602,False,False,Brownian
