strain,treatment,track_id,n_steps,alpha,R,p_value,is_levy_strict,is_levy_statistical,classification
NL5901,CBD 30uM,1314_1_0,160,2.769816803531868,-3.8700420607463286,0.049011109674040744,True,False,Lévy
NL5901,CBD 30uM,1314_1_1,65,2.6609008336867834,-0.07382757158166164,0.7986864962069695,True,False,Lévy
NL5901,CBD 30uM,1314_1_10,170,3.332524429478114,-0.0012131877906631505,0.9954894980552195,False,False,Brownian
NL5901,CBD 30uM,1314_1_11,138,3.165597656207252,-1.0038582610902227,0.1564178158970576,False,False,Brownian
NL5901,CBD 30uM,1314_1_110,53,8.522597830052765,-0.49847481375725616,0.06548734880239118,False,False,Brownian
NL5901,CBD 30uM,1314_1_14,78,12.978628838194734,-0.11011397920378996,0.3762508694866824,False,False,Brownian
NL5901,CBD 30uM,1314_1_2,65,1913.2926353727871,,,False,False,Brownian
NL5901,CBD 30uM,1314_1_23,82,12.197533161565357,-1.0340098487908926,0.035542618560471154,False,False,Brownian
NL5901,CBD 30uM,1314_1_4,140,23.44192285827276,-19.64286716068367,2.7549670188672934e-06,False,False,Brownian
NL5901,CBD 30uM,1314_1_44,154,3.014215606115939,-1.5860108675872753,0.2698174420006004,False,False,Brownian
NL5901,CBD 30uM,1314_1_5,218,10.909035007264688,-0.7583223463652824,0.058810317254073805,False,False,Brownian
NL5901,CBD 30uM,1314_1_58,59,5.015247248966881,0.0001158170282466453,0.9912843532455646,False,False,Brownian
NL5901,CBD 30uM,1314_1_6,119,2.272282695202115,-0.03177834139762281,0.865000824779133,True,False,Lévy
NL5901,CBD 30uM,1314_1_72,54,2.5817286250242324,-0.9356120707464598,0.19269993250035355,True,False,Lévy
NL5901,CBD 30uM,1319_0_1,198,16.55502326100334,0.032149717085304785,0.2401652708411839,False,False,Brownian
NL5901,CBD 30uM,1319_0_11,73,81.66556211904187,-0.17663000824248343,0.3397177459528393,False,False,Brownian
NL5901,CBD 30uM,1319_0_13,154,3.169459639419235,-0.02189586996660392,0.4862214007982488,False,False,Brownian
NL5901,CBD 30uM,1319_0_2,135,4.983252725239011,-0.6960613356513607,0.2841200447411757,False,False,Brownian
NL5901,CBD 30uM,1319_0_5,171,2.333475304257947,-0.1059691301832828,0.8001870298212302,True,False,Lévy
NL5901,CBD 30uM,1319_0_51,60,3.5792338345921113,-0.17218548761670227,0.6990443609226755,False,False,Brownian
NL5901,CBD 30uM,1319_0_6,198,4.144542498097241,-0.5682545108816051,0.3637043113119729,False,False,Brownian
NL5901,CBD 30uM,1522_2_10,72,5.573049383010572,-2.5481968149240064,0.016423135808036643,False,False,Brownian
NL5901,CBD 30uM,1522_2_101,67,8.267814826913657,-0.06999806901038624,0.225184717111218,False,False,Brownian
NL5901,CBD 30uM,1522_2_11,201,5.626940539413854,-0.13676739271003568,0.4303744165239364,False,False,Brownian
NL5901,CBD 30uM,1522_2_12,202,134.95967224267486,0.6690269360929992,0.7612825614712089,False,False,Brownian
NL5901,CBD 30uM,1522_2_14,56,3.6382511586976323,-0.13390089688426676,0.7414650063758479,False,False,Brownian
NL5901,CBD 30uM,1522_2_18,52,3.9892164613196286,-0.08408027113862993,0.7532726545292459,False,False,Brownian
NL5901,CBD 30uM,1522_2_19,57,4.58758750453379,-1.0036754090526323,0.16005348619227566,False,False,Brownian
NL5901,CBD 30uM,1522_2_2,61,3.2220303130112242,-0.6537343223494865,0.3321398048622287,False,False,Brownian
