strain,treatment,track_id,n_steps,alpha,R,p_value,is_levy_strict,is_levy_statistical,classification
ROSELLA,CBDV 30uM,1508_1_0,191,5.693277093059805,-0.3334945774090303,0.5821032312066117,False,False,Brownian
ROSELLA,CBDV 30uM,1508_1_1,175,2.96801834992372,-1.850713337630883,0.2700944839919188,True,False,Lévy
ROSELLA,CBDV 30uM,1508_1_12,59,3.816076020358492,-0.6350440390289065,0.06494117370550581,False,False,Brownian
ROSELLA,CBDV 30uM,1508_1_15,148,3.4710978575603835,-0.252444917256915,0.6532224508581942,False,False,Brownian
ROSELLA,CBDV 30uM,1508_1_25,105,3.9195674556865483,-0.04033270611133566,0.8557449974412611,False,False,Brownian
ROSELLA,CBDV 30uM,1508_1_3,76,2.853322629179548,-0.17467822693139512,0.707280732902017,True,False,Lévy
ROSELLA,CBDV 30uM,1508_1_5,213,5.665977619425523,0.006746202684955349,0.7110328392081613,False,False,Brownian
ROSELLA,CBDV 30uM,1508_1_6,121,6.925822733077322,-0.015114222915636744,0.45998440776801464,False,False,Brownian
ROSELLA,CBDV 30uM,1508_1_7,76,3.4871868999402813,-0.0658985555854299,0.8139264646099442,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_1,137,3.470051116466353,-0.05061399770586261,0.8093417969267066,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_10,130,3.9519155669525596,-0.1793349609459367,0.6459714673902872,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_101,58,3.159428103416508,-0.19913692358187385,0.16424140670548326,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_103,71,3.860172670843685,-0.1699155314396773,0.7186928180401693,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_111,60,3.91035032327761,0.027972191292292337,0.4924255519303604,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_113,70,3.8047628312249526,-0.30833352331592223,0.5856848998231348,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_12,205,5.9596271309330495,-1.6345667654462153,0.010797690284899892,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_14,192,6.573980378135209,0.006194730469498699,0.725377853388844,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_15,113,3.842999836563332,-0.8163474959237509,0.24939333501544758,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_17,70,3.389511000440374,-0.10222377330494181,0.7559884045654545,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_18,229,43.01723171558573,-1.1451215687206426,0.31572065487605494,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_19,172,2.2105641875440183,-2.7070523460893345,0.132783271731445,True,False,Lévy
ROSELLA,CBDV 30uM,1550_2_2,143,2.452782811434267,-0.8246908927031331,0.4371868700531296,True,False,Lévy
ROSELLA,CBDV 30uM,1550_2_20,194,3.37065572252415,-0.007184957051254326,0.9316292508221132,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_21,182,3.847489308936676,-0.13586554795916794,0.18255748447771036,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_25,193,4.107112807580365,-0.008251291401969119,0.8758108283179563,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_26,159,3.330161964394966,-4.542627757266989,0.10058131404999232,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_37,123,2.8745349769872934,-0.4590549849066678,0.08839006513322967,True,False,Lévy
ROSELLA,CBDV 30uM,1550_2_42,133,4.549767178815346,-0.2929793606890667,0.6393304135932046,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_44,153,3.339655665036389,-0.6090651178252127,0.5137273365340014,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_46,65,8.556628053522836,-0.0005711877736938042,0.9368533545194077,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_50,86,4.090250718501675,-0.23816643727176778,0.6589841243934863,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_53,123,2.188471380386451,-0.7510709736164096,0.4332661951770739,True,False,Lévy
ROSELLA,CBDV 30uM,1550_2_58,128,3.7729836905799323,-1.4726973701635808,0.28110043931037865,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_6,122,4.033547692158719,-0.0048182608514839576,0.9474325387403272,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_7,80,2.5292177443886263,-0.0471190178154024,0.863013990473496,True,False,Lévy
ROSELLA,CBDV 30uM,1550_2_70,57,3.3516203852430393,-0.21515536722470274,0.39760795944250393,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_73,91,2.4010886364755377,-1.3097815355429354,0.35824462016536873,True,False,Lévy
ROSELLA,CBDV 30uM,1550_2_76,63,1.9101755581149324,-3.504838936871307,0.11545389236267828,True,False,Lévy
ROSELLA,CBDV 30uM,1550_2_83,50,2.716412697997309,-0.6914876580619238,0.4313553490771618,True,False,Lévy
ROSELLA,CBDV 30uM,1550_2_86,68,3.0051663869100245,-1.0443526471424553,0.34901309698072724,False,False,Brownian
ROSELLA,CBDV 30uM,1550_2_98,84,3.1550145132685077,5.612528399379091e-05,0.9925737519598511,False,False,Brownian
ROSELLA,CBDV 30uM,1556_0_0,181,5.645829018360306,-0.7784787636995676,0.21536780502973762,False,False,Brownian
ROSELLA,CBDV 30uM,1556_0_1,160,2.632465291775836,-0.3615689489294347,0.5863636762973934,True,False,Lévy
ROSELLA,CBDV 30uM,1556_0_10,221,16.45194343228114,-0.9061506626614381,0.04924392202184989,False,False,Brownian
ROSELLA,CBDV 30uM,1556_0_17,61,7.199360436827911,-0.09399477183539817,0.7839715753328371,False,False,Brownian
ROSELLA,CBDV 30uM,1556_0_19,61,2.8327550506290224,-1.1034897479581525,0.33694751373996035,True,False,Lévy
ROSELLA,CBDV 30uM,1556_0_2,100,4.6588584031389395,-1.1204297322430299,0.01657815798194983,False,False,Brownian
ROSELLA,CBDV 30uM,1556_0_24,78,2.0600298002571504,-0.9065635478818566,0.4076933153697344,True,False,Lévy
