strain,treatment,track_id,n_steps,alpha,R,p_value,is_levy_strict,is_levy_statistical,classification
TJ356,Total_Extract_CBD,1106_5_1,51,1.8474097011267698,-0.8739643159341237,0.5264057547702281,True,False,Lévy
TJ356,Total_Extract_CBD,1106_5_107,76,3.0971333866953343,-0.04686603497638764,0.8402196823510709,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_11,175,2.2572972369365045,-3.4049500935907333,0.16463341796296882,True,False,Lévy
TJ356,Total_Extract_CBD,1106_5_12,192,28.597592030630764,-0.637523514726739,0.3559813335205584,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_131,78,2.4151062598822692,-1.477878218403538,0.30611509732650033,True,False,Lévy
TJ356,Total_Extract_CBD,1106_5_133,89,3.512065117026652,-0.6791914325787315,0.16530939939944145,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_14,164,9.23477645548812,-0.5108455526950819,0.5946015969896634,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_15,208,11.498326845371594,-1.8065628811161192,0.24198266009246583,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_159,72,3.528948605404623,-0.7375909836277511,0.14481243414236886,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_16,168,2.425170762402324,-0.12460041486859064,0.73384576033099,True,False,Lévy
TJ356,Total_Extract_CBD,1106_5_18,94,12.708195280138803,-0.36829208857117246,0.5183605896142462,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_19,160,26.921134459551837,0.9741877986910441,0.07731712822687974,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_2,149,48.76923579832345,0.3790471508966302,0.042822912205616175,False,True,Brownian
TJ356,Total_Extract_CBD,1106_5_20,128,3.688393897065589,-1.4773488134422492,0.0660966277044528,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_21,194,2.678514741426838,-1.372160472797635,0.1416345516058089,True,False,Lévy
TJ356,Total_Extract_CBD,1106_5_22,209,9.49361305762798,-20.06811412083684,1.8014239961511524e-150,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_23,131,3.4668456811855806,-0.039133990107494854,0.08487145537444755,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_24,157,11.535028903235682,-64.81275321354842,2.0061340298254473e-55,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_25,187,114.50109346547833,0.5043216655979847,0.710332138395795,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_26,156,21.79670317574964,-0.3290472957590094,0.6832547432278724,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_3,190,22.37996895339067,-1.4718298119894158,0.12106710003394802,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_30,62,3.127545042520156,-0.020951406498586345,0.8907043605487399,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_31,204,2.9714352076865778,-3.3522953648803426,0.0290880241895443,True,False,Lévy
TJ356,Total_Extract_CBD,1106_5_32,164,16.773465780385997,-36.30959789682213,1.9174224190897352e-15,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_33,217,3.5146239067448324,0.008465182089135104,0.8003983236570245,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_34,169,3.47061947965126,0.12331465244066653,0.147584821443632,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_35,56,2.5288814143687905,-5.601138964975923,7.1762443845411695e-12,True,False,Lévy
TJ356,Total_Extract_CBD,1106_5_37,178,2.7941936547760706,-0.13895227792625786,0.009769984146680684,True,False,Lévy
TJ356,Total_Extract_CBD,1106_5_38,121,101.20153155917774,0.039078753757519014,0.808615581599011,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_39,139,3.8602678690955257,0.006070152003125662,0.9495441055293927,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_4,143,13.503357021037683,-4.491773661556963,0.0023899003429490836,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_40,54,4.788646094741996,-0.41418281224597603,0.08890629837371901,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_41,178,3.8332156338372396,-7.506315765061283,0.00011094027589269036,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_42,174,274.0788898280942,inf,,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_43,71,2.1852410700475797,-0.9853440208579971,0.41786745015170224,True,False,Lévy
TJ356,Total_Extract_CBD,1106_5_49,88,122.5038950516878,-1.820099861253834,0.07042883618576119,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_52,94,,0.0,1.0,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_6,154,11.393867964704729,-173.98667690747786,5.86343608847853e-22,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_64,52,6.088792753486624,-0.9021609141219531,0.13109511024647538,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_7,162,107.8310200157597,-0.049943801178928826,0.015560848915156305,False,False,Brownian
TJ356,Total_Extract_CBD,1106_5_8,75,9.65617024533378,-3.441127365772501,0.006527611468357211,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_0,158,4.99840730223476,-2.073117192703319,0.04164134170488331,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_11,197,30.67072302777111,-2.2357898579934137,0.0012500545225696705,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_12,86,22.917074985218793,-0.34133253261417096,0.7758210119263399,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_14,177,13.792163394675063,0.06111657518705993,0.8430328129854077,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_15,144,,0.0,1.0,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_16,169,8.120103053972429,-0.25056812945963225,0.6828208719996937,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_17,125,177.68867494833435,-6.013018905187193,1.6312034004710728e-10,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_18,97,16.85549879603232,-14.044304204483266,0.0019390126634720368,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_19,131,9.573160212139905,-2.555908935732265,0.08892343883343311,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_2,183,3.467306101196525,-0.2901076665728794,0.1323345508551065,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_21,143,12.990941706892201,-0.04757571366942448,0.7975190839938463,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_23,233,7.730793915480052,-0.15272868445560084,0.7185060386671875,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_3,163,104.87404294400538,-0.04890436295490996,0.9572877319972405,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_36,176,4.8541295627298915,-0.6988921193401776,0.011406916517170395,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_4,192,4.9488520412697,-0.22427206927673926,0.009531445627532862,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_41,72,2.5431126473720873,-3.101027406590682,0.03692336318941147,True,False,Lévy
TJ356,Total_Extract_CBD,1157_4_5,188,75.56019214715343,0.34607600797884164,0.5146175127838529,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_58,70,16.045163337571214,-0.38996349423431065,0.18557622190132272,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_6,164,25.189720610378885,-0.15449052907806138,0.5323316661660535,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_62,89,22.687494067218847,-0.7157543643238904,0.26048868084413457,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_8,174,93.39107625833859,-2.051332561223175,0.08132490223141574,False,False,Brownian
TJ356,Total_Extract_CBD,1157_4_9,69,67.36397188089231,0.4036905299462479,0.6385182730419217,False,False,Brownian
TJ356,Total_Extract_CBD,1203_3_0,222,4.07837925011653,-0.087323575336546,0.8221450813396092,False,False,Brownian
TJ356,Total_Extract_CBD,1203_3_1,209,9.732522283297957,-0.11199703694507182,0.24168249451439028,False,False,Brownian
