strain,treatment,track_id,n_steps,alpha,R,p_value,is_levy_strict,is_levy_statistical,classification
UA44,CBDV 3uM,1453_2_0,126,2.379522127985796,-0.4718626258623728,0.5162606971781221,True,False,Lévy
UA44,CBDV 3uM,1453_2_10,139,3.8802555112853154,-0.09913435928370773,0.15271364238136376,False,False,Brownian
UA44,CBDV 3uM,1453_2_11,87,3.6693296947494765,-0.7066764944479558,0.4669793013688416,False,False,Brownian
UA44,CBDV 3uM,1453_2_13,100,3.0426382599111452,6.409837355381143e-05,0.9868459583134609,False,False,Brownian
UA44,CBDV 3uM,1453_2_14,52,3.1002591071788075,-0.0022573643180943126,0.964198852303341,False,False,Brownian
UA44,CBDV 3uM,1453_2_15,183,2.947797053571483,-0.18447673553502386,0.6752051537502533,True,False,Lévy
UA44,CBDV 3uM,1453_2_16,203,3.431415676388797,0.0004614563036686725,0.9216989382170163,False,False,Brownian
UA44,CBDV 3uM,1453_2_17,150,4.8496186875580385,-1.0434578073502014,0.1578603346974511,False,False,Brownian
UA44,CBDV 3uM,1453_2_18,210,152.7231171253899,-0.4773600030892977,0.3394012306354388,False,False,Brownian
UA44,CBDV 3uM,1453_2_19,208,3.162231901307862,-0.010156079067405344,0.9178652985041508,False,False,Brownian
UA44,CBDV 3uM,1453_2_21,67,3.4008033232466293,-0.8223064086936588,0.17246460374494565,False,False,Brownian
UA44,CBDV 3uM,1453_2_27,68,2.7519124900955676,-0.6689989920611481,0.4474297707770971,True,False,Lévy
UA44,CBDV 3uM,1453_2_31,54,2.9561800001844123,-0.7824250755285747,0.40265317069063244,True,False,Lévy
UA44,CBDV 3uM,1453_2_42,126,1.9384342131822998,-1.3526185492805363,0.3168763444363145,True,False,Lévy
UA44,CBDV 3uM,1453_2_49,70,3.1526508177979173,-0.3557318722962144,0.11889988578269015,False,False,Brownian
UA44,CBDV 3uM,1453_2_50,161,2.9198553359719943,-0.06991017787432896,0.7859355011450878,True,False,Lévy
UA44,CBDV 3uM,1453_2_60,115,3.5756482184134026,-1.2108261858220146,0.3315538851928842,False,False,Brownian
UA44,CBDV 3uM,1453_2_61,68,5.803243665721428,8.920563288161709e-05,0.9729005210691883,False,False,Brownian
UA44,CBDV 3uM,1453_2_65,106,3.107008598325614,-1.0549623021061634,0.37212453377020505,False,False,Brownian
UA44,CBDV 3uM,1453_2_67,115,3.0248300048691816,-0.01651106673036329,0.8997283346848067,False,False,Brownian
UA44,CBDV 3uM,1453_2_68,84,3.239412653419667,-0.8542096511632707,0.2288309285933834,False,False,Brownian
UA44,CBDV 3uM,1453_2_7,78,4.640653677291072,-0.6989476651844682,0.2907177415026331,False,False,Brownian
UA44,CBDV 3uM,1453_2_72,55,2.5016416936316075,-0.6662931058792019,0.47666615158882497,True,False,Lévy
UA44,CBDV 3uM,1453_2_74,71,3.1658959063809866,-0.01608068188533307,0.899637866795243,False,False,Brownian
UA44,CBDV 3uM,1453_2_79,66,2.4146532931013276,-0.505098353922137,0.5276279280962992,True,False,Lévy
UA44,CBDV 3uM,1453_2_87,59,1.7533964342642643,-2.3680516584165754,0.20373063556164261,True,False,Lévy
UA44,CBDV 3uM,1453_2_88,52,2.061705870275306,-2.309599958087982,0.22780812217262592,True,False,Lévy
