strain,treatment,p_value,R,q_value_BH,significant_FDR
N2,ETANOL,0.4096551383992343,-0.07068831657984487,0.5501083287075431,False
N2,CBD 0.3uM,0.10092928415554041,-0.21415298726780474,0.19765318147126665,False
N2,Control,0.6104915356306825,-0.28357802060786996,0.6961163159632976,False
N2,Total_Extract_CBD,1.8014032383507955e-05,-22.56234630900568,9.809541852600003e-05,True
N2,CBDV 30uM,0.7270394967505296,-0.1009035810120964,0.7727117697086309,False
N2,CBDV 3uM,0.15870541321953469,0.025343122356131564,0.24863848071060435,False
N2,CBDV 0.3uM,0.05619300331397958,-3.4000247263629415,0.13900374503984422,False
N2,CBD 30uM,1.8784229079446816e-05,-23.603623686334906,9.809541852600003e-05,True
N2,CBD 3uM,0.0526161294683614,-5.352155359745915,0.13738656027849921,False
NL5901,CBD 30uM,0.07523384255910459,-3.560995010608826,0.16838050477513886,False
NL5901,ETANOL,4.834514122690312e-08,-37.26163507147342,3.7870360627740776e-07,True
NL5901,CBD 0.3uM,7.478110393326886e-18,-85.65283580929925,3.5147118848636362e-16,True
NL5901,CBD,0.11493399216882677,-2.994929651226199,0.20778057869767308,False
NL5901,Control,4.3547664348284355e-09,-31.6518566502969,4.093480448738729e-08,True
NL5901,CBD 3uM,0.8325250520046963,-0.03801097088206551,0.8506234227004505,False
NL5901,CBDV 30uM,0.04187471357006548,-5.923955630454371,0.12300697111206735,False
NL5901,CBDV 3uM,0.13565796966047913,-1.843162148851138,0.23612685303261477,False
NL5901,CBDV 0.3uM,0.09861286808682992,-2.4993438946746362,0.19765318147126665,False
UA44,CBDV 3uM,0.5520794150640829,-0.37513907671565727,0.6828350660003131,False
UA44,Control,0.5752645262912037,-0.37702154162296697,0.6932675060432455,False
UA44,CBDV 0.3uM,0.8833971188819191,-0.0208369836806237,0.8833971188819191,False
UA44,CBDV 30uM,0.590494207392622,-0.37568206000375204,0.6938306936863309,False
UA44,ETANOL,2.6724898291757838e-12,-62.974518321783776,4.1869007323753944e-11,True
UA44,CBD 0.3uM,0.26809824723828635,-0.7520707453313382,0.3818368975818017,False
UA44,Total_Extract_CBD,0.49087307273853986,-0.6127781122571108,0.6235414707759831,False
UA44,CBD 3uM,0.002436318317132377,-7.359786666721547,0.008808227761940133,True
UA44,CBD 30uM,0.08361463651220157,-1.0941825874173574,0.1786312689124306,False
TJ356,Total_Extract_CBD,0.0001395073121056339,-14.968743281121,0.0005960766971786176,True
TJ356,Control,0.021884558715913056,-4.93955105630492,0.06857161730986092,False
TJ356,CBD 0.3uM,0.11494244779020213,-2.0438891785051485,0.20778057869767308,False
TJ356,ETANOL,0.0033629346360306866,-9.032100160531842,0.011289851992388734,True
BR5270,Control,4.4025181608996985e-05,-20.626728392977768,0.0002069183535622858,True
BR5270,Total_Extract_CBD,0.40605583048206195,-0.9266573253531893,0.5501083287075431,False
BR5270,CBD 0.3uM,0.16563054107708908,-2.369440399993506,0.25111727195558664,False
BR5270,ETANOL,0.6866783427734795,-0.21485460699803927,0.7505553979151987,False
BR5271,Control,1.963431252554926e-09,-46.905681075478135,2.3070317217520383e-08,True
BR5271,CBD 0.3uM,0.14067131670028113,-0.2819963231339174,0.23612685303261477,False
BR5271,ETANOL,0.15121662366581437,-2.79169442742647,0.24507521766528537,False
BR5271,Total_Extract_CBD,0.05065362114741763,-4.025246255225569,0.13738656027849921,False
ROSELLA,CBDV 30uM,0.261379049925358,-1.932693547199615,0.3818368975818017,False
ROSELLA,Control,0.739830417806136,0.009623057179275918,0.7727117697086309,False
ROSELLA,CBDV 3uM,0.6220613887331595,-0.26245825245059073,0.6961163159632976,False
ROSELLA,ETANOL,0.0004502022796400023,-13.03898608694043,0.0017632922619233422,True
ROSELLA,CBDV 0.3uM,0.0641058645476935,-3.5291855976318764,0.15064878168707974,False
ROSELLA,CBD 3uM,1.998316058710136e-17,1.310158293015864,4.69604273796882e-16,True
ROSELLA,CBD 30uM,3.589054980909157e-06,0.8745688892362868,2.409794058610434e-05,True
ROSELLA,CBD 0.3uM,0.46172655640677984,-0.43783417535899183,0.602809670864407,False
