feature,p_permutation,q_by,selected_fdr
speed_mean,0.0001999600079984003,0.0010277200723123037,True
speed_std,0.003599280143971206,0.014388081012372251,True
speed_median,0.0001999600079984003,0.0010277200723123037,True
speed_min,1.0,1.0,False
speed_max,0.0001999600079984003,0.0010277200723123037,True
speed_q25,0.0001999600079984003,0.0010277200723123037,True
speed_q75,0.0001999600079984003,0.0010277200723123037,True
turning_mean,0.0001999600079984003,0.0010277200723123037,True
turning_std,0.0001999600079984003,0.0010277200723123037,True
turning_max,0.0001999600079984003,0.0010277200723123037,True
angular_accel_mean,0.0001999600079984003,0.0010277200723123037,True
angular_accel_std,0.0001999600079984003,0.0010277200723123037,True
path_length,0.0003999200159968006,0.0017985101265465316,True
displacement,0.0001999600079984003,0.0010277200723123037,True
confinement_ratio,0.0023995200959808036,0.01015629247932159,True
radius_of_gyration,0.0001999600079984003,0.0010277200723123037,True
tortuosity,0.121375724855029,0.45966132497420825,False
speed_autocorr_lag1,0.0001999600079984003,0.0010277200723123037,True
fraction_moving,0.0001999600079984003,0.0010277200723123037,True
msd_lag10,0.0003999200159968006,0.0017985101265465316,True
