feature,p_permutation,q_by,selected_fdr
speed_mean,0.6292741451709658,1.0,False
speed_std,0.7890421915616876,1.0,False
speed_median,0.8928214357128574,1.0,False
speed_min,0.6066786642671466,1.0,False
speed_max,0.7658468306338733,1.0,False
speed_q25,0.9290141971605679,1.0,False
speed_q75,0.8436312737452509,1.0,False
turning_mean,0.992001599680064,1.0,False
turning_std,0.9862027594481104,1.0,False
turning_max,0.7484503099380124,1.0,False
angular_accel_mean,0.9756048790241951,1.0,False
angular_accel_std,0.9218156368726255,1.0,False
path_length,0.19356128774245152,1.0,False
displacement,0.05618876224755049,1.0,False
confinement_ratio,0.008798240351929614,0.3165377822721896,False
radius_of_gyration,0.03119376124775045,0.7481802126433572,False
tortuosity,0.0007998400319936012,0.05755232404948901,True
speed_autocorr_lag1,0.8508298340331933,1.0,False
fraction_moving,0.978004399120176,1.0,False
msd_lag10,0.1839632073585283,1.0,False
